provenance,date,subvention
region,Jan 2006,910
departement,Jan 2006,2100
commune,Jan 2006,16165
FSER,Jan 2006,41752
Aides a l'emploi,Jan 2006,11431
region,Jan 2007,2748
departement,Jan 2007,2528
commune,Jan 2007,15730
FSER,Jan 2007,43292
Aides a l'emploi,Jan 2007,10508
region,Jan 2008,4825
departement,Jan 2008,2926
commune,Jan 2008,15663
FSER,Jan 2008,40496
Aides a l'emploi,Jan 2008,10029
region,Jan 2009,4452
departement,Jan 2009,2573
commune,Jan 2009,14672
FSER,Jan 2009,44645
Aides a l'emploi,Jan 2009,10057
region,Jan 2010,3741
departement,Jan 2010,2468
commune,Jan 2010,18516
FSER,Jan 2010,49528
Aides a l'emploi,Jan 2010,12913
region,Jan 2011,3920
departement,Jan 2011,2677
commune,Jan 2011,16268
FSER,Jan 2011,52506
Aides a l'emploi,Jan 2011,12104
region,Jan 2012,4690
departement,Jan 2012,3009
commune,Jan 2012,15263
FSER,Jan 2012,53676
Aides a l'emploi,Jan 2012,11271
region,Jan 2013,5171
departement,Jan 2013,3193
commune,Jan 2013,22468
FSER,Jan 2013,47433
Aides a l'emploi,Jan 2013,9952
region,Jan 2014,5793
departement,Jan 2014,3003
commune,Jan 2014,22380
FSER,Jan 2014,48530
Aides a l'emploi,Jan 2014,9653
