name,description
t1_9412,abbaretz
t1_9780,aigrefeuille-sur-maine
t1_8985,ancenis
t1_9781,anetz
t1_9782,arthon-en-retz
t1_9783,asserac
t1_9784,avessac
t1_9785,barbechat
t1_9786,basse-goulaine
t1_9787,batz-sur-mer
t1_9788,belligne
t1_9841,la_bernerie-en-retz
t1_9789,besne
t1_9866,le_bignon
t1_9790,blain
t1_9842,la_boissiere-du-dore
t1_9791,bonnoeuvre
t1_9792,bouaye
t1_9793,bouee
t1_9794,bouguenais
t1_9795,bourgneuf-en-retz
t1_9796,boussay
t1_9797,bouvron
t1_9798,brains
t1_9799,campbon
t1_9800,carquefou
t1_9801,casson
t1_9867,le_cellier
t1_9843,la_chapelle-basse-mer
t1_9844,la_chapelle-des-marais
t1_9845,la_chapelle-glain
t1_9846,la_chapelle-heulin
t1_9847,la_chapelle-launay
t1_9848,la_chapelle-saint-sauveur
t1_9849,la_chapelle-sur-erdre
t1_10630,chateaubriant
tt1_9803,chauve
t1_9804,cheix-en-retz
t1_9805,chemere
t1_9851,la_chevroliere
t1_9414,clisson
t1_9806,conquereuil
t1_9808,cordemais
t1_9809,corsept
t1_9810,coueron
t1_9811,couffe
t1_9868,le_croisic
t1_9812,crossac
t1_9813,derval
t1_9814,donges
t1_9815,dreffeac
t1_9816,erbray
t1_9840,la_baule-escoublac
t1_9817,fay-de-bretagne
t1_9818,fegreac
t1_9819,ferce
t1_9820,fresnay-en-retz
t1_9869,le_fresne-sur-loire
t1_9821,frossay
t1_9870,le_gavre
t1_9823,getigne
t1_9824,gorges
t1_9825,grand-auverne
t1_9826,grandchamps-des-fontaines
t1_9827,guemene-penfao
t1_9828,guenrouet
t1_9829,guerande
t1_10516,la_haie-fouassiere
t1_9830,haute-goulaine
t1_9831,herbignac
t1_9832,heric
t1_9834,indre
t1_9836,isse
t1_9837,jans
t1_9838,joue-sur-erdre
t1_9839,juigne-des-moutiers
t1_9839,le_landreau
t1_9865,lavau-sur-loire
t1_9878,lege
t1_9882,ligne>
t1_9854,la_limouziniere
t1_9872,le_loroux-bottereau
t1_9883,louisfert
t1_9884,lusanger
t1_9885,machecoul
t1_9886,maisdon-sur-sevre
t1_9887,malville
t1_9855,la_marne
t1_9888,marsac-sur-don
t1_9889,masserac
t1_9890,maumusson
t1_9891,mauves-sur-loire
t1_9856,meilleraye-de-bretagne
t1_9892,mesanger
t1_9893,mesquer>
t1_9894,missillac
t1_9895,moisdon-la-riviere
t1_9896,monnieres
t1_9857,la_montagne
t1_9897,montbert
t1_9898,montoir-de-bretagne
t1_9899,montrelais
t1_9900,mouais
t1_9879,moutiers-en-retz
t1_9901,mouzeil
t1_9902,mouzillon
t1_9428,nantes
t1_9903,nort-sur-erdre
t1_9904,notre-dame-des-landes
t1_9905,noyal-sur-brutz
t1_9906,nozay
t1_9907,orvault
t1_9908,oudon
t1_9909,paimboeuf
t1_9873,le_pallet
t1_9910,pannece
t1_9911,paulx
t1_9874,le_pellerin
t1_9912,petit-auverne
t1_9913,petit-mars
t1_9914,pierric
t1_9875,le_pin
t1_9915,piriac-sur-mer
t1_9858,plaine-sur-mer
t1_9859,la_planche
t1_9916,plesse
t1_9918,pontchateau
t1_9917,pont-saint-martin
t1_9417,pornic
t1_9919,pornichet
t1_9920,port-saint-pere
t1_9921,pouille-les-coteaux
t1_9876,le_pouliguen
t1_9922,prefailles
t1_9923,prinquiau
t1_9924,puceul
t1_9925,quilly
t1_9860,la_regrippiere
t1_9861,la_remaudiere
t1_9926,remouille
t1_9927,reze
t1_9928,riaille
t1_9929,rouans
t1_9930,rouge
t1_9863,la_rouxiere
t1_9931,ruffigne
t1_9932,saffre
t1_9939,saint-aignan-grandlieu
t1_9940,saint-andre-des-eaux
t1_9975,sainte-anne-sur-brivet
t1_9941,saint-aubin-des-chateaux
t1_9942,saint-brevin-les-pins
t1_9943,saint-colomban
t1_9807,corcoue-sur-logne
t1_9944,saint-etienne-de-mer-morte
t1_9945,saint-etienne-de-montluc
t1_9946,saint-fiacre-sur-maine
t1_9947,saint-gereon
t1_9948,saint-gildas-des-bois
t1_9949,saint-herblain
t1_9950,saint-herblon
t1_9951,saint-hilaire-de-chaleons
t1_9952,saint-hilaire-de-clisson
t1_9953,saint-jean-de-boiseau
t1_9954,saint-joachim
t1_9955,saint-julien-de-concelles
t1_9956,saint-julien-de-vouvantes
t1_9957,saint-leger-les-vignes
t1_9976,sainte-luce-sur-loire
t1_9958,saint-lumine-de-clisson
t1_9959,saint-lumine-de-coutais
t1_9960,saint-lyphard
t1_9961,saint-malo-de-guersac
t1_9962,saint-mars-de-coutais
t1_9963,saint-mars-du-desert
t1_9964,saint-mars-la-jaille
t1_9965,saint-meme-le-tenu
t1_9966,saint-michel-chef-chef
t1_9967,mesquer
t1_9423,saint-nazaire
t1_9968,saint-nicolas-de-redon
t1_9977,sainte-pazanne
t1_9969,saint-pere-en-retz
t1_9970,saint-philbert-de-grand-lieu
t1_9978,sainte-reine-de-bretagne
t1_9971,saint-sebastien-sur-loire
t1_9972,saint-sulpice-des-landes
t1_9973,saint-viaud
t1_9974,saint-vincent-des-landes
t1_9933,sautron
t1_9934,savenay
t1_9935,severac
t1_9936,sion-les-mines
t1_9880,les_sorinieres
t1_9937,soudan
t1_9938,soulvache
t1_9979,suce-sur-erdre
t1_9980,teille
t1_9877,le_temple-de-bretagne
t1_9981,thouare
t1_9881,les_touches
t1_9982,touvois
t1_9983,trans-sur-erdre
t1_9984,treffieux
t1_9985,treillieres
t1_9986,trignac
t1_9864,la_turballe
t1_9987,vallet
t1_9988,varades
t1_9989,vay
t1_9990,vertou
t1_9991,vieillevigne
t1_9992,vigneux-de-bretagne
t1_9993,villepot
t1_9994,vritz
t1_9995,vue
t1_9850,la_chevallerais
t1_9862,la_roche-blanche
t1_9822,geneston
t1_9852,la_grigonnais
t1_9802,chateau-thebaud
