PERIOD,SUM(ACT_COST)
2010-08,"425488,799999999"
2010-09,"453268,36"
2010-10,"435101,37"
2010-11,"451164,869999999"
2010-12,"499556,910000001"
2011-01,"427262,85"
2011-02,"389879,68"
2011-03,"467725,46"
2011-04,"394293,029999999"
2011-05,"447506,93"
2011-06,"443918,600000001"
2011-07,"434366,729999999"
2011-08,"451657,820000001"
2011-09,"459712,78"
2011-10,"438147,089999999"
2011-11,"462863,26"
2011-12,"487780,04"
2012-01,"439270,200000001"
2012-02,"437573,57"
2012-03,"466251,709999999"
2012-04,"425063,2"
2012-05,"487727,379999999"
2012-06,"439304,339999999"
2012-07,"450780,070000001"
2012-08,"470386,939999999"
2012-09,"446634,909999999"
2012-10,"483729,139999999"
2012-11,"485646,25"
2012-12,"474051,549999999"
2013-01,"472313,800000002"
2013-02,"438631,94"
2013-03,"457187,079999999"
2013-04,"465245,3"
2013-05,"502509,840000001"
2013-06,"445384,209999999"
2013-07,"508154,79"
2013-08,"468873,68"
2013-09,"462422,720000001"
2013-10,"509565,37"
2013-11,"480620,94"
2013-12,"502791,550000001"
2014-01,"505681,020000001"
2014-02,"445956,56"
2014-03,"477824,18"
2014-04,"481387,460000002"
2014-05,"508639,5"
2014-06,"475251,140000002"
2014-07,"520396,19"
2014-08,"459333,99"
2014-09,"490409,25"
2014-10,"523365,279999999"
2014-11,"469986,910000001"
2014-12,"544616,94"
2015-01,"495087,18"
2015-02,"449144,28"
2015-03,"490143,129999999"
2015-04,"489023,340000001"
2015-05,"483396,840000001"
2015-06,"499603,300000001"
2015-07,"515458,01"
2015-08,"465183,279999999"
2015-09,"494966,97"
2015-10,"504063,250000001"
