Hour,NO,NO2,PM25
1:00,12.71,33.71,10.97
2:00,12.05,32.05,10.56
3:00,11.12,29.98,10.03
4:00,9.2,26.79,9.11
5:00,7.51,23.41,8.64
6:00,6.61,22.48,8.18
7:00,8.72,23.84,8.37
8:00,9.83,24.23,8.65
9:00,10.4,24.1,8.96
10:00,11,23.79,8.95
11:00,11.16,24.36,8.67
12:00,10.71,24.73,8.32
13:00,10.01,25.36,7.98
14:00,9.38,25.27,7.88
15:00,9.24,26.35,7.88
16:00,9.26,28.46,7.94
17:00,9.41,30.96,8.52
18:00,9.68,32.93,9.19
19:00,10.11,34.52,9.63
20:00,10.31,35.62,10.43
21:00,10.38,34.95,10.68
22:00,10.47,34.07,10.51
23:00,10.71,33.03,10.38
24:00,10.18,30.28,10.25
